Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km,total_air_assets,total_land_assets,total_naval_assets,total_assets,assets_per_capita,budget_to_gdp_ratio,power_score,computed_rank,power_index_rank_gap,region,alliance
Laos,7953556,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,0,0,0,0,0,0,36,0,135000000,64173000000,1770000000,18,0,422,39568,56,4731,36,4823,606.395428661092,0.002103688467112337,27032411.5,138.0,137.0,Other,Non-NATO
Estonia,1193791,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,0,0,0,0,0,0,4,4,1463360000,57377000000,2593000000,26,20,1441,58412,8,1721,8,1737,1455.0285602756262,0.025504296146539554,292675178.5,77.0,76.0,Other,Non-NATO
Tajikistan,10394063,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,0,0,0,0,0,0,0,0,446000000,46467000000,2748900000,19,0,680,30000,45,1314,0,1359,130.7477162684121,0.009598209481997978,89203529.5,108.0,107.0,Other,Non-NATO
Zambia,20799116,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,0,0,0,0,0,0,0,0,394240000,76493000000,2861000000,119,0,3126,67671,109,526,0,635,30.530143684952765,0.005153935654242872,78852862.5,113.0,112.0,Other,Non-NATO
Ghana,34589092,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,0,0,0,0,0,0,27,0,308500000,229639000000,3624000000,11,4,947,65725,29,1836,28,1893,54.72823628905899,0.0013434129220210853,61705596.5,122.0,121.0,Other,Non-NATO
Zimbabwe,17150352,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,0,0,0,0,0,0,0,0,530800000,58583000000,115530000,144,0,3427,97267,123,843,0,966,56.325374546248376,0.009060648993735383,106169183.0,104.0,103.0,Other,Non-NATO
North Macedonia,2135622,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,0,0,0,0,0,0,0,0,388421700,42444000000,5015000000,13,0,699,14182,30,1295,0,1325,620.4281469286232,0.00915139242295731,77687702.5,114.0,113.0,Other,Non-NATO
South Sudan,12703714,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,0,0,0,0,0,0,0,0,175300000,20010000000,183615000,82,0,248,90200,35,2019,0,2054,161.68500015034974,0.008760619690154922,35116527.0,133.0,132.0,Other,Non-NATO
Uganda,49283041,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,0,0,0,0,0,0,0,0,985400000,135668000000,3506500000,39,0,1244,20544,81,4165,0,4246,86.15539775640063,0.007263319279417401,197095623.0,88.0,87.0,Other,Non-NATO
Lebanon,5364482,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,0,0,0,0,0,0,61,0,768250325,65818000000,26498095000,8,5,401,21705,148,5030,64,5242,977.1679726020145,0.011672343811723237,153670686.0,97.0,96.0,Other,Non-NATO
Namibia,2803660,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,0,0,0,0,0,2,12,0,370500000,29944000000,2956000000,255,2,2628,48875,41,2148,15,2204,786.1152921538275,0.012373096446700508,74105002.0,116.0,115.0,Other,Non-NATO
Luxembourg,671254,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,726092925,88533000000,2977000000,3,0,271,2875,1,182,0,183,272.6240737485363,0.008201381688184068,145218976.5,98.0,97.0,Other,Non-NATO
Afghanistan,40121552,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,0,0,0,0,0,0,0,0,290000000,54772700000,8852092000,67,0,0,34903,15,5202,0,5217,130.029865245492,0.005294608445448189,58002608.5,125.0,124.0,Other,Non-NATO
Niger,26342784,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,0,0,0,0,0,0,0,0,336400000,44561000000,1442772000,26,0,0,18949,39,456,0,495,18.790724625005467,0.007549202217185432,67287747.5,119.0,118.0,Other,Non-NATO
Eritrea,6343956,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,0,0,0,0,0,0,18,0,198000000,9702000000,225014976,10,2,306,16000,33,1045,23,1101,173.55101454045393,0.02040816326530612,39636550.5,132.0,131.0,Other,Non-NATO
